Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2020-10-29,20020,1651.0,1657.0,1608.0,1611.0,0,0,1031700.0,1674600800.0,1.0,1651.0,1657.0,1608.0,1611.0,1031700.0
2020-10-30,20020,1608.0,1608.0,1571.0,1571.0,0,0,980500.0,1550939900.0,1.0,1608.0,1608.0,1571.0,1571.0,980500.0
2020-11-02,20020,1583.0,1621.0,1583.0,1614.0,0,0,506000.0,814972200.0,1.0,1583.0,1621.0,1583.0,1614.0,506000.0
2020-11-04,20020,1644.0,1648.0,1616.0,1616.0,0,0,654900.0,1064205200.0,1.0,1644.0,1648.0,1616.0,1616.0,654900.0
2020-11-05,20020,1597.0,1636.0,1597.0,1636.0,0,0,882500.0,1435047100.0,1.0,1597.0,1636.0,1597.0,1636.0,882500.0
2020-11-06,20020,1615.0,1654.0,1615.0,1644.0,0,0,679700.0,1116531400.0,1.0,1615.0,1654.0,1615.0,1644.0,679700.0
2020-11-09,20020,1652.0,1674.0,1646.0,1658.0,0,0,766800.0,1273346900.0,1.0,1652.0,1674.0,1646.0,1658.0,766800.0
2020-11-10,20020,1683.0,1718.0,1683.0,1715.0,0,0,900500.0,1536967700.0,1.0,1683.0,1718.0,1683.0,1715.0,900500.0
2020-11-11,20020,1749.0,1770.0,1740.0,1757.0,0,0,952800.0,1668870200.0,1.0,1749.0,1770.0,1740.0,1757.0,952800.0
2020-11-12,20020,1751.0,1759.0,1729.0,1741.0,0,0,818100.0,1424388000.0,1.0,1751.0,1759.0,1729.0,1741.0,818100.0
2020-11-13,20020,1735.0,1740.0,1711.0,1721.0,0,0,777500.0,1342703000.0,1.0,1735.0,1740.0,1711.0,1721.0,777500.0
2020-11-16,20020,1748.0,1780.0,1746.0,1770.0,0,0,800300.0,1415019700.0,1.0,1748.0,1780.0,1746.0,1770.0,800300.0
2020-11-17,20020,1787.0,1788.0,1770.0,1784.0,0,0,789100.0,1405818400.0,1.0,1787.0,1788.0,1770.0,1784.0,789100.0
2020-11-18,20020,1785.0,1791.0,1762.0,1766.0,0,0,485500.0,859559200.0,1.0,1785.0,1791.0,1762.0,1766.0,485500.0
2020-11-19,20020,1741.0,1754.0,1736.0,1750.0,0,0,628700.0,1097966700.0,1.0,1741.0,1754.0,1736.0,1750.0,628700.0
2020-11-20,20020,1733.0,1742.0,1724.0,1730.0,0,0,569900.0,986106000.0,1.0,1733.0,1742.0,1724.0,1730.0,569900.0
2020-11-24,20020,1770.0,1782.0,1760.0,1767.0,0,0,606900.0,1074533500.0,1.0,1770.0,1782.0,1760.0,1767.0,606900.0
2020-11-25,20020,1785.0,1787.0,1750.0,1750.0,0,0,578400.0,1018877100.0,1.0,1785.0,1787.0,1750.0,1750.0,578400.0
2020-11-26,20020,1755.0,1755.0,1730.0,1749.0,0,0,585600.0,1021547000.0,1.0,1755.0,1755.0,1730.0,1749.0,585600.0
2020-11-27,20020,1759.0,1762.0,1730.0,1747.0,0,0,740200.0,1291906000.0,1.0,1759.0,1762.0,1730.0,1747.0,740200.0
2020-11-30,20020,1735.0,1737.0,1696.0,1697.0,0,0,1583700.0,2697196800.0,1.0,1735.0,1737.0,1696.0,1697.0,1583700.0
2020-12-01,20020,1713.0,1726.0,1702.0,1715.0,0,0,457600.0,784430100.0,1.0,1713.0,1726.0,1702.0,1715.0,457600.0
2020-12-02,20020,1723.0,1740.0,1711.0,1731.0,0,0,578500.0,1001145800.0,1.0,1723.0,1740.0,1711.0,1731.0,578500.0
2020-12-03,20020,1737.0,1745.0,1723.0,1730.0,0,0,535300.0,927019800.0,1.0,1737.0,1745.0,1723.0,1730.0,535300.0
2020-12-04,20020,1723.0,1735.0,1721.0,1723.0,0,0,365600.0,630837000.0,1.0,1723.0,1735.0,1721.0,1723.0,365600.0
