Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2025-10-03,414A0,1533.0,1590.0,1336.0,1345.0,0,0,4638600.0,6686290200.0,1.0,1533.0,1590.0,1336.0,1345.0,4638600.0
2025-10-06,414A0,1288.0,1465.0,1231.0,1402.0,0,0,1831700.0,2446138700.0,1.0,1288.0,1465.0,1231.0,1402.0,1831700.0
2025-10-07,414A0,1372.0,1482.0,1353.0,1436.0,0,0,969200.0,1386969700.0,1.0,1372.0,1482.0,1353.0,1436.0,969200.0
2025-10-08,414A0,1430.0,1550.0,1420.0,1546.0,0,0,1097400.0,1661360000.0,1.0,1430.0,1550.0,1420.0,1546.0,1097400.0
2025-10-09,414A0,1532.0,1549.0,1440.0,1477.0,0,0,500200.0,749451500.0,1.0,1532.0,1549.0,1440.0,1477.0,500200.0
2025-10-10,414A0,1451.0,1460.0,1396.0,1399.0,0,0,487500.0,691450200.0,1.0,1451.0,1460.0,1396.0,1399.0,487500.0
2025-10-14,414A0,1369.0,1412.0,1322.0,1350.0,0,0,258700.0,351909900.0,1.0,1369.0,1412.0,1322.0,1350.0,258700.0
2025-10-15,414A0,1368.0,1465.0,1367.0,1457.0,0,0,275300.0,392880900.0,1.0,1368.0,1465.0,1367.0,1457.0,275300.0
2025-10-16,414A0,1367.0,1425.0,1356.0,1368.0,0,0,385500.0,531719900.0,1.0,1367.0,1425.0,1356.0,1368.0,385500.0
2025-10-17,414A0,1359.0,1359.0,1282.0,1290.0,0,0,400400.0,523121800.0,1.0,1359.0,1359.0,1282.0,1290.0,400400.0
2025-10-20,414A0,1300.0,1314.0,1284.0,1297.0,0,0,167600.0,217159400.0,1.0,1300.0,1314.0,1284.0,1297.0,167600.0
2025-10-21,414A0,1303.0,1303.0,1280.0,1290.0,0,0,112800.0,145403600.0,1.0,1303.0,1303.0,1280.0,1290.0,112800.0
2025-10-22,414A0,1290.0,1312.0,1285.0,1311.0,0,0,147000.0,191288500.0,1.0,1290.0,1312.0,1285.0,1311.0,147000.0
2025-10-23,414A0,1294.0,1309.0,1267.0,1267.0,0,0,276700.0,354711600.0,1.0,1294.0,1309.0,1267.0,1267.0,276700.0
2025-10-24,414A0,1275.0,1302.0,1258.0,1265.0,0,0,260700.0,332516600.0,1.0,1275.0,1302.0,1258.0,1265.0,260700.0
2025-10-27,414A0,1262.0,1272.0,1226.0,1226.0,0,0,315500.0,391157900.0,1.0,1262.0,1272.0,1226.0,1226.0,315500.0
2025-10-28,414A0,1234.0,1257.0,1204.0,1212.0,0,0,234000.0,287123800.0,1.0,1234.0,1257.0,1204.0,1212.0,234000.0
2025-10-29,414A0,1218.0,1234.0,1193.0,1193.0,0,0,223800.0,269971800.0,1.0,1218.0,1234.0,1193.0,1193.0,223800.0
